no,filename,tool,timeout,init,inv,next,args
5,SetAddDel/SetAddDel_5.tla,tlc,1h,,,,
6,SetAddDel/SetAddDel_6.tla,tlc,1h,,,,
7,SetAddDel/SetAddDel_7.tla,tlc,1h,,,,
8,SetAddDel/SetAddDel_8.tla,tlc,1h,,,,
9,SetAddDel/SetAddDel_9.tla,tlc,1h,,,,
10,SetAddDel/SetAddDel_10.tla,tlc,1h,,,,
11,SetAddDel/SetAddDel_11.tla,tlc,1h,,,,
12,SetAddDel/SetAddDel_12.tla,tlc,1h,,,,
13,SetAddDel/SetAddDel_13.tla,tlc,1h,,,,
14,SetAddDel/SetAddDel_14.tla,tlc,1h,,,,
15,SetAddDel/SetAddDel_15.tla,tlc,1h,,,,
16,SetAddDel/SetAddDel_16.tla,tlc,1h,,,,
17,SetAddDel/SetAddDel_17.tla,tlc,1h,,,,
18,SetAddDel/SetAddDel_18.tla,tlc,1h,,,,
19,SetAddDel/SetAddDel_19.tla,tlc,1h,,,,
20,SetAddDel/SetAddDel_20.tla,tlc,1h,,,,
21,SetAddDel/SetAddDel_21.tla,tlc,1h,,,,
22,SetAddDel/SetAddDel_22.tla,tlc,1h,,,,
23,SetAddDel/SetAddDel_23.tla,tlc,1h,,,,


