filename,tool,timeout,init,inv,next,args
traffic/traffic.tla,apalache,2h,,,,--length=4
Prisoners/Prisoners.tla,apalache,2h,,SafetyInv,,--length=15 --cinit=ConstInit
Bakery-Boulangerie/Bakery.tla,apalache,2h,,MutualExclusion,,--length=8
ewd840/EWD840.tla,apalache,2h,,Inv,,--length=12 --cinit=ConstInit4
ewd840/EWD840.tla,apalache,2h,,Inv,,--length=30 --cinit=ConstInit10
allocator/SimpleAllocator.tla,apalache,2h,,ResourceMutex,,--length=7 --cinit=ConstInit22
allocator/SimpleAllocator.tla,apalache,2h,,ResourceMutex,,--length=7 --cinit=ConstInit53
bcastFolklore/bcastFolklore.tla,apalache,2h,Init,,,--length=10 --cinit=ConstInit4
bcastFolklore/bcastFolklore.tla,apalache,2h,Init,,,--length=10 --cinit=ConstInit20
bcastByz/bcastByz.tla,apalache,2h,Init,,,--length=10 --cinit=ConstInit4
bcastByz/bcastByz.tla,apalache,2h,Init,,,--length=11 --cinit=ConstInit6
two-phase/TwoPhase.tla,apalache,2h,,TCConsistent,,--length=11 --cinit=ConstInit3
two-phase/TwoPhase.tla,apalache,2h,,TCConsistent,,--length=10 --cinit=ConstInit7
paxos/Apa3Paxos.tla,apalache,2h,,OneValuePerBallot,,--length=13
paxos/Apa5Paxos.tla,apalache,2h,,OneValuePerBallot,,--length=14
raft/raft.tla,apalache,2h,,OneLeader,,--length=8
