01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,4,215628,1,4,501,999,8
2,apalache,NoError,373,15,309320,1,4,2590,6659,11
3,apalache,NoError,2449,8,378320,1,16,14699,48280,11
4,apalache,NoError,76,12,800032,1,4,36279,257846,12
5,apalache,NoError,3347,30,1013192,1,4,89379,635414,12
6,apalache,NoError,60,7,299944,1,3,2906,9720,13
7,apalache,NoError,18445,7,349756,1,3,5514,30735,16
8,apalache,NoError,32,10,443292,1,4,11142,33243,13
9,apalache,NoError,120,10,705732,1,4,37399,141877,13
10,apalache,NoError,526,10,860296,1,5,54803,216971,14
11,apalache,NoError,14185,11,1205440,1,5,106460,543820,15
12,apalache,NoError,118,11,309300,1,7,3094,10462,10
13,apalache,NoError,5687,10,347652,1,7,4047,15945,10
14,apalache,NoError,9944,13,497668,1,4,22640,50337,10
15,apalache,NoError,40549,14,592092,1,4,34322,79090,10
16,apalache,NoError,13557,8,1554476,1,23,116569,445909,19
