01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,4,218188,1,4,501,999,8
2,apalache,NoError,339,15,334688,1,4,2590,6659,11
3,apalache,NoError,2358,8,359308,1,16,14699,48280,11
4,apalache,NoError,96,12,750980,1,4,36279,257846,12
5,apalache,NoError,1460,30,1265360,1,4,89379,635414,12
6,apalache,NoError,51,7,303828,1,3,2906,9720,13
7,apalache,NoError,16320,7,347772,1,3,5514,30735,16
8,apalache,NoError,30,10,352844,1,4,11142,33243,13
9,apalache,NoError,68,10,710608,1,4,37399,141877,13
10,apalache,NoError,1273,10,1108884,1,5,54803,216971,14
11,apalache,NoError,11648,11,1278784,1,5,106460,543820,15
12,apalache,NoError,116,11,326908,1,7,3094,10462,10
13,apalache,NoError,5969,10,318396,1,7,4047,15945,10
14,apalache,NoError,10575,13,439788,1,4,22640,50337,10
15,apalache,NoError,38438,14,558824,1,4,34322,79090,10
16,apalache,NoError,13427,8,1374648,1,23,116569,445909,19
