01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,Error,3,5,223868,0,0,126,553,11
2,apalache,Error,3,6,228168,0,0,161,782,12
3,apalache,Error,3,7,228560,0,0,198,1048,13
4,apalache,Error,4,8,234656,0,0,237,1351,14
5,apalache,Error,7,9,243084,0,0,278,1691,15
6,apalache,Error,37,10,259500,0,0,321,2068,16
7,apalache,Error,567,11,272948,0,0,366,2482,16
8,apalache,Error,3462,12,327984,0,0,413,2933,17
9,apalache,Timeout,3600,11,3184,0,0,375,2802,16
10,apalache,Timeout,3600,11,3228,0,0,380,2989,16
11,apalache,Timeout,3600,11,3240,0,0,385,3185,16
