01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,20:nstates
1,tlc,Error,1,6,98340,32
2,tlc,Error,1,7,108080,64
3,tlc,Error,1,8,108124,128
4,tlc,Error,1,9,112252,256
5,tlc,Error,1,10,115036,512
6,tlc,Error,2,11,120104,1024
7,tlc,Error,2,12,125140,2048
8,tlc,Error,2,13,146100,4096
9,tlc,Error,2,14,171248,8192
10,tlc,Error,2,15,218696,16384
11,tlc,Error,2,16,276108,32768
12,tlc,Error,2,17,320804,65536
13,tlc,Error,3,18,446444,131072
14,tlc,Error,6,19,696676,262144
15,tlc,Error,11,20,1233212,524288
16,tlc,Error,22,21,2346716,1048576
17,tlc,Error,43,22,3044472,2097152
18,tlc,Error,87,23,3296216,4194304
19,tlc,Error,179,24,3535280,8388608
