01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,10,276420,0,0,821,2881,10
2,apalache,NoError,4,12,285380,0,0,1044,3980,10
3,apalache,NoError,4,14,306216,0,0,1283,5246,10
4,apalache,NoError,4,16,309512,0,0,1538,6679,10
5,apalache,NoError,5,18,309500,0,0,1809,8279,10
6,apalache,NoError,6,20,310320,0,0,2096,10046,10
7,apalache,NoError,6,22,314232,0,0,2399,11980,10
8,apalache,NoError,7,24,333232,0,0,2718,14081,11
9,apalache,NoError,8,26,315416,0,0,3053,16349,11
10,apalache,NoError,10,28,339388,0,0,3404,18784,11
11,apalache,NoError,10,30,334864,0,0,3771,21386,11
