01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,Error,4,10,227444,0,0,306,592,9
2,apalache,Error,512,20,303376,0,0,2003,4458,10
3,apalache,Timeout,3600,20,3328,0,0,2577,6698,11
4,apalache,Timeout,3600,21,3272,0,0,3323,9765,11
5,apalache,Timeout,3600,18,3276,0,0,3361,10954,11
6,apalache,Timeout,3600,17,3236,0,0,3663,13073,11
7,apalache,Timeout,3600,17,3280,0,0,4157,16090,11
8,apalache,Timeout,3600,15,3288,0,0,4087,17053,11
9,apalache,Timeout,3601,15,3200,0,0,4521,20194,12
10,apalache,Timeout,3600,14,3344,0,0,4613,21973,12
