01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,Error,3,0,212420,0,0,17,19,7
2,apalache,Error,3,0,194268,0,0,36,43,10
3,apalache,Error,3,0,199168,0,0,57,71,13
4,apalache,Error,3,0,197312,0,0,81,104,15
5,apalache,Error,3,0,198384,0,0,108,142,18
6,apalache,Error,3,0,201144,0,0,138,185,21
7,apalache,Error,3,0,200148,0,0,171,233,24
8,apalache,Error,3,0,200904,0,0,207,286,26
9,apalache,Error,5,0,206328,0,0,246,344,29
10,apalache,Error,23,0,234000,0,0,288,407,32
11,apalache,Error,4,0,190044,0,0,12,12,6
12,apalache,Error,4,0,195868,0,0,24,28,9
13,apalache,Error,4,0,199792,0,0,35,45,10
14,apalache,Error,4,0,199176,0,0,46,64,12
15,apalache,Error,4,0,202612,0,0,57,85,13
16,apalache,Error,3,0,202660,0,0,68,108,14
17,apalache,Error,3,0,200108,0,0,79,133,15
18,apalache,Error,4,0,204772,0,0,90,160,16
19,apalache,Error,4,0,204476,0,0,101,189,16
20,apalache,Error,5,0,206152,0,0,112,220,17
