01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,194440,0,0,12,7,6
2,apalache,NoError,3,0,198636,0,0,83,74,9
3,apalache,NoError,3,0,215096,0,0,207,197,11
4,apalache,NoError,4,0,216536,0,0,355,348,12
5,apalache,NoError,21,0,220412,0,0,527,527,13
6,apalache,NoError,253,0,254200,0,0,723,734,14
7,apalache,NoError,2774,0,328732,0,0,943,969,15
8,apalache,Timeout,7200,0,3696,0,0,1166,1215,15
9,apalache,NoError,5,0,196588,0,0,13,11,6
10,apalache,NoError,4,0,197892,0,0,93,99,9
11,apalache,NoError,4,0,210936,0,0,235,258,11
12,apalache,NoError,5,0,209424,0,0,401,445,12
13,apalache,NoError,5,0,210288,0,0,591,660,14
14,apalache,NoError,11,0,238652,0,0,805,903,15
15,apalache,NoError,75,0,242092,0,0,1043,1174,16
16,apalache,NoError,244,0,234680,0,0,1305,1473,17
