01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,203284,0,0,12,7,5
2,apalache,NoError,4,0,213804,0,0,80,79,8
3,apalache,NoError,4,0,218564,0,0,214,233,9
4,apalache,NoError,5,0,224160,0,0,372,435,10
5,apalache,NoError,7,0,257604,0,0,554,685,11
6,apalache,NoError,11,0,252388,0,0,760,983,11
7,apalache,NoError,21,0,261972,0,0,990,1329,12
8,apalache,NoError,36,0,244696,0,0,1244,1723,12
9,apalache,NoError,5,0,205628,0,0,13,11,6
10,apalache,NoError,5,0,213308,0,0,88,99,8
11,apalache,NoError,5,0,217872,0,0,240,289,9
12,apalache,NoError,6,0,216280,0,0,416,527,11
13,apalache,NoError,6,0,224288,0,0,616,813,12
14,apalache,NoError,6,0,228696,0,0,840,1147,13
15,apalache,NoError,6,0,243772,0,0,1088,1529,13
16,apalache,NoError,6,0,240472,0,0,1360,1959,14
